timestamp,seq,msg_id,prop_delay_ms,isl_ms
2026-05-07T08:35:57.869110+00:00,143,0x01,2.824,2.824
2026-05-07T08:35:58.184189+00:00,145,0x01,2.824,2.824
2026-05-07T08:35:59.171470+00:00,191,0x01,2.854,2.854
2026-05-07T08:35:59.499866+00:00,195,0x01,2.854,2.854
2026-05-07T08:35:59.823150+00:00,198,0x01,2.854,2.854
2026-05-07T08:36:00.458858+00:00,204,0x01,2.883,2.883
2026-05-07T08:36:00.781232+00:00,207,0x01,2.883,2.883
2026-05-07T08:36:01.099841+00:00,209,0x01,2.883,2.883
2026-05-07T08:36:01.418315+00:00,212,0x01,2.883,2.883
2026-05-07T08:36:02.640452+00:00,212,0x01,2.912,2.912
2026-05-07T08:36:02.972499+00:00,216,0x01,2.912,2.912
2026-05-07T08:36:03.291253+00:00,218,0x01,2.912,2.912
2026-05-07T08:36:03.612659+00:00,221,0x01,2.912,2.912
2026-05-07T08:36:03.935827+00:00,225,0x01,2.912,2.912
2026-05-07T08:36:04.576832+00:00,230,0x01,2.938,2.938
2026-05-07T08:36:04.887341+00:00,233,0x01,2.938,2.938
2026-05-07T08:36:05.875166+00:00,28,0x01,2.938,2.938
2026-05-07T08:36:06.195641+00:00,32,0x01,2.938,2.938
2026-05-07T08:36:06.517153+00:00,35,0x01,2.961,2.961
2026-05-07T08:36:07.137082+00:00,40,0x01,2.961,2.961
2026-05-07T08:36:07.452341+00:00,44,0x01,2.961,2.961
2026-05-07T08:36:07.769974+00:00,47,0x01,2.961,2.961
2026-05-07T08:36:08.394339+00:00,52,0x01,2.991,2.991
2026-05-07T08:36:09.017969+00:00,46,0x01,2.991,2.991
2026-05-07T08:36:09.334193+00:00,50,0x01,2.991,2.991
2026-05-07T08:36:10.505334+00:00,58,0x01,3.02,3.02
2026-05-07T08:36:10.816516+00:00,61,0x01,3.02,3.02
2026-05-07T08:36:12.674325+00:00,132,0x01,3.049,3.049
2026-05-07T08:36:12.985700+00:00,135,0x01,3.049,3.049
2026-05-07T08:36:13.297900+00:00,138,0x01,3.049,3.049
2026-05-07T08:36:13.912662+00:00,145,0x01,3.049,3.049
2026-05-07T08:36:35.654133+00:00,156,0x01,3.353,3.353
2026-05-07T08:36:35.966319+00:00,158,0x01,3.353,3.353
2026-05-07T08:36:36.890141+00:00,167,0x01,3.377,3.377
2026-05-07T08:36:37.204817+00:00,171,0x01,3.377,3.377
2026-05-07T08:36:38.637989+00:00,165,0x01,3.402,3.402
2026-05-07T08:36:38.947659+00:00,167,0x01,3.402,3.402
2026-05-07T08:36:39.256703+00:00,171,0x01,3.402,3.402
2026-05-07T08:36:39.562862+00:00,174,0x01,3.402,3.402
2026-05-07T08:36:40.191805+00:00,180,0x01,3.402,3.402
2026-05-07T08:36:41.706730+00:00,216,0x01,3.433,3.433
2026-05-07T08:36:42.012331+00:00,220,0x01,3.433,3.433
2026-05-07T08:36:42.318336+00:00,222,0x01,3.433,3.433
2026-05-07T08:36:42.623531+00:00,225,0x01,3.461,3.461
2026-05-07T08:36:42.927777+00:00,229,0x01,3.461,3.461
2026-05-07T08:36:43.537827+00:00,235,0x01,3.461,3.461
2026-05-07T08:36:44.350661+00:00,218,0x01,3.461,3.461
2026-05-07T08:36:44.659089+00:00,221,0x01,3.49,3.49
2026-05-07T08:36:45.281586+00:00,226,0x01,3.49,3.49
2026-05-07T08:36:45.588893+00:00,230,0x01,3.49,3.49
2026-05-07T08:36:45.895505+00:00,233,0x01,3.49,3.49
2026-05-07T08:36:46.204125+00:00,235,0x01,3.49,3.49
2026-05-07T08:36:46.788770+00:00,242,0x01,3.516,3.516
2026-05-07T08:36:47.736819+00:00,18,0x01,3.516,3.516
2026-05-07T08:36:48.048001+00:00,21,0x01,3.516,3.516
2026-05-07T08:36:48.360045+00:00,23,0x01,3.516,3.516
2026-05-07T08:36:49.289144+00:00,32,0x01,3.539,3.539
2026-05-07T08:36:49.608031+00:00,35,0x01,3.539,3.539
2026-05-07T08:36:50.200371+00:00,40,0x01,3.539,3.539
2026-05-07T08:36:51.157091+00:00,70,0x01,3.57,3.57
2026-05-07T08:36:52.068587+00:00,79,0x01,3.57,3.57
2026-05-07T08:36:52.377209+00:00,82,0x01,3.57,3.57
2026-05-07T08:36:52.687506+00:00,85,0x01,3.599,3.599
2026-05-07T08:36:52.995402+00:00,88,0x01,3.599,3.599
2026-05-07T08:36:53.574702+00:00,94,0x01,3.599,3.599
2026-05-07T08:36:54.433061+00:00,80,0x01,3.628,3.628
2026-05-07T08:36:55.050177+00:00,87,0x01,3.628,3.628
2026-05-07T08:36:56.278675+00:00,99,0x01,3.628,3.628
2026-05-07T08:36:56.571646+00:00,101,0x01,3.655,3.655
2026-05-07T08:36:57.817152+00:00,136,0x01,3.655,3.655
2026-05-07T08:36:58.424708+00:00,143,0x01,3.677,3.677
2026-05-07T08:36:58.733549+00:00,145,0x01,3.677,3.677
2026-05-07T08:36:59.042579+00:00,149,0x01,3.677,3.677
2026-05-07T08:36:59.654739+00:00,155,0x01,3.677,3.677
2026-05-07T08:37:00.479535+00:00,140,0x01,3.707,3.707
2026-05-07T08:37:00.790018+00:00,143,0x01,3.707,3.707
2026-05-07T08:37:01.098691+00:00,145,0x01,3.707,3.707
2026-05-07T08:37:02.031363+00:00,155,0x01,3.707,3.707
2026-05-07T08:37:02.342082+00:00,158,0x01,3.707,3.707
2026-05-07T08:37:04.491734+00:00,202,0x01,3.766,3.766
2026-05-07T08:37:04.802187+00:00,205,0x01,3.766,3.766
2026-05-07T08:37:05.111848+00:00,209,0x01,3.766,3.766
2026-05-07T08:37:05.422255+00:00,211,0x01,3.766,3.766
2026-05-07T08:37:06.039666+00:00,218,0x01,3.766,3.766
2026-05-07T08:37:06.315792+00:00,220,0x01,3.766,3.766
2026-05-07T08:37:46.611943+00:00,46,0x01,4.347,4.347
2026-05-07T08:37:47.264237+00:00,52,0x01,4.347,4.347
2026-05-07T08:37:48.224058+00:00,61,0x01,4.347,4.347
2026-05-07T08:37:48.870314+00:00,67,0x01,4.375,4.375
2026-05-07T08:37:49.726590+00:00,66,0x01,4.375,4.375
2026-05-07T08:37:50.041827+00:00,69,0x01,4.375,4.375
2026-05-07T08:37:50.363860+00:00,73,0x01,4.375,4.375
2026-05-07T08:37:50.691540+00:00,75,0x01,4.396,4.396
2026-05-07T08:37:51.006525+00:00,78,0x01,4.396,4.396
2026-05-07T08:37:51.635684+00:00,85,0x01,4.396,4.396
2026-05-07T08:37:51.982313+00:00,87,0x01,4.396,4.396
2026-05-07T08:37:53.900038+00:00,143,0x01,4.425,4.425
2026-05-07T08:37:54.223909+00:00,145,0x01,4.425,4.425
2026-05-07T08:37:54.547295+00:00,147,0x01,4.457,4.457
2026-05-07T08:37:54.880450+00:00,150,0x01,4.457,4.457
2026-05-07T08:37:55.531510+00:00,156,0x01,4.457,4.457
2026-05-07T08:37:56.390288+00:00,156,0x01,4.457,4.457
2026-05-07T08:37:56.716823+00:00,159,0x01,4.486,4.486
2026-05-07T08:37:57.688301+00:00,169,0x01,4.486,4.486
2026-05-07T08:37:58.013671+00:00,171,0x01,4.486,4.486
2026-05-07T08:37:58.338314+00:00,174,0x01,4.486,4.486
2026-05-07T08:37:58.665457+00:00,178,0x01,4.514,4.514
2026-05-07T08:37:58.978099+00:00,180,0x01,4.514,4.514
2026-05-07T08:37:59.988835+00:00,230,0x01,4.514,4.514
2026-05-07T08:38:00.309921+00:00,232,0x01,4.514,4.514
2026-05-07T08:38:00.633907+00:00,235,0x01,4.536,4.536
2026-05-07T08:38:01.278774+00:00,242,0x01,4.536,4.536
2026-05-07T08:38:01.599443+00:00,245,0x01,4.536,4.536
2026-05-07T08:38:02.239326+00:00,250,0x01,4.536,4.536
2026-05-07T08:38:02.550196+00:00,253,0x01,4.563,4.563
2026-05-07T08:38:03.449264+00:00,1,0x01,4.563,4.563
2026-05-07T08:38:04.093065+00:00,6,0x01,4.563,4.563
2026-05-07T08:38:05.057641+00:00,16,0x01,4.596,4.596
2026-05-07T08:38:05.379504+00:00,18,0x01,4.596,4.596
2026-05-07T08:38:05.676800+00:00,21,0x01,4.596,4.596
2026-05-07T08:38:36.591156+00:00,252,0x01,5.041,5.041
2026-05-07T08:38:36.908981+00:00,255,0x01,5.041,5.041
2026-05-07T08:38:37.229208+00:00,1,0x01,5.041,5.041
2026-05-07T08:38:38.170224+00:00,11,0x01,5.041,5.041
2026-05-07T08:38:38.487599+00:00,14,0x01,5.041,5.041
2026-05-07T08:38:38.770842+00:00,16,0x01,5.069,5.069
2026-05-07T08:38:39.654267+00:00,11,0x01,5.069,5.069
2026-05-07T08:38:39.970721+00:00,14,0x01,5.069,5.069
2026-05-07T08:38:40.911319+00:00,22,0x01,5.097,5.097
2026-05-07T08:38:41.538930+00:00,28,0x01,5.097,5.097
2026-05-07T08:38:41.832168+00:00,31,0x01,5.097,5.097
2026-05-07T08:38:42.836670+00:00,71,0x01,5.118,5.118
2026-05-07T08:38:43.172842+00:00,73,0x01,5.118,5.118
2026-05-07T08:38:43.488544+00:00,76,0x01,5.118,5.118
2026-05-07T08:38:44.112829+00:00,82,0x01,5.118,5.118
2026-05-07T08:38:44.756241+00:00,89,0x01,5.146,5.146
2026-05-07T08:38:45.074733+00:00,91,0x01,5.146,5.146
2026-05-07T08:38:45.375027+00:00,94,0x01,5.146,5.146
2026-05-07T08:38:46.385555+00:00,138,0x01,5.146,5.146
2026-05-07T08:38:46.706377+00:00,141,0x01,5.18,5.18
2026-05-07T08:38:47.342632+00:00,147,0x01,5.18,5.18
2026-05-07T08:38:47.662169+00:00,150,0x01,5.18,5.18
2026-05-07T08:38:47.984106+00:00,153,0x01,5.18,5.18
2026-05-07T08:38:48.306863+00:00,155,0x01,5.18,5.18
2026-05-07T08:38:49.487485+00:00,156,0x01,5.208,5.208
2026-05-07T08:38:50.116693+00:00,162,0x01,5.208,5.208
2026-05-07T08:38:50.752347+00:00,167,0x01,5.237,5.237
2026-05-07T08:38:51.078162+00:00,171,0x01,5.237,5.237
2026-05-07T08:38:51.396254+00:00,173,0x01,5.237,5.237
2026-05-07T08:38:53.010842+00:00,222,0x01,5.258,5.258
2026-05-07T08:38:53.336760+00:00,225,0x01,5.258,5.258
2026-05-07T08:38:54.294112+00:00,235,0x01,5.258,5.258
2026-05-07T08:38:54.616555+00:00,238,0x01,5.284,5.284
2026-05-07T08:38:54.938527+00:00,240,0x01,5.284,5.284
2026-05-07T08:38:56.441404+00:00,247,0x01,5.284,5.284
2026-05-07T08:38:57.075150+00:00,253,0x01,5.318,5.318
2026-05-07T08:38:57.703365+00:00,2,0x01,5.318,5.318
2026-05-07T08:38:58.023994+00:00,6,0x01,5.318,5.318
2026-05-07T08:38:58.344865+00:00,9,0x01,5.318,5.318
2026-05-07T08:38:58.647041+00:00,11,0x01,5.347,5.347
2026-05-07T08:38:59.661042+00:00,56,0x01,5.347,5.347
2026-05-07T08:38:59.988338+00:00,58,0x01,5.347,5.347
2026-05-07T08:39:00.333172+00:00,61,0x01,5.347,5.347
